When did the berlin wall fall?
2,"The fall of the Berlin Wall (German: Mauerfall, pronounced  ⓘ) on November 9, 1989, during the Peaceful Revolution, marked the destruction of the Berlin Wall and the figurative Iron Curtain."
0,"It was one of the series of events that started the fall of communism in Central and Eastern Europe, preceded by the Solidarity Movement in Poland."
0,"The fall of the inner German border took place shortly afterward."
0,"An end to the Cold War was declared at the Malta Summit three weeks later and the German reunification took place in October the following year. "
0,"The opening of the Iron Curtain between Austria and Hungary at the Pan-European Picnic on 19 August 1989 set in motion a peaceful chain reaction, at the end of which there was no longer an East Germany and the Eastern Bloc had disintegrated."
0,"After the picnic, which was based on an idea by Otto von Habsburg to test the reaction of the USSR and Mikhail Gorbachev to an opening of the border, tens of thousands of media-informed East Germans set off for Hungary."
0,"Erich Honecker dictated to the Daily Mirror for the Pan-European Picnic: 'Habsburg distributed leaflets far into Poland, on which the East German holidaymakers were invited to a picnic."
0,"When they came to the picnic, they were given gifts, food and Deutsche Mark, and then they were persuaded to come to the West."
0,"The leadership of the GDR in East Berlin did not dare to completely block the borders of their own country and the USSR did not respond at all."
0,"Thus the bracket of the Eastern Bloc was broken. "
0,"Following the summer of 1989, by early November refugees were finding their way to Hungary via Czechoslovakia or via the West German embassy in Prague."
0,"On 30 September, following negotiations with East Germany and the Soviet Union, then-West German Foreign Minister Hans-Dietrich Genscher went to the Prague embassy to personally inform the thousands of refugees that they have been allowed to leave for West Germany."
0,"His speech from the embassy\'s balcony, which included the line, 'Wir sind zu Ihnen gekommen, um Ihnen mitzuteilen, dass heute Ihre Ausreise...' ('We came to you, to let you know that today, your departure...') was met with loud cheers and jubilations."
0,"The next day, the first of the embassy refugees left Prague for Bavaria. "
0,"The emigration was initially tolerated because of long-standing agreements with the communist Czechoslovak government, allowing free travel across their common border."
0,"However, this movement of people grew so large it caused difficulties for both countries.', 'In addition, East Germany was struggling to meet loan payments on foreign borrowings; Egon Krenz sent Alexander Schalck-Golodkowski to unsuccessfully ask West Germany for a short-term loan to make interest payments."
0,":\u200a344\u200a The Berlin Wall was made up of two walls instead of one."
0,"Both walls were 4 metres tall, had a length of 155 kilometres and were separated by a mine corridor called the 'death strip.'"
0,"It was heavily guarded and consisted of 302 watchtowers, and was monitored by guards who had authorisation to shoot down anyone who attempted escaping to West Berlin."
0,"On 18 October 1989, longtime Socialist Unity Party of Germany (SED) leader Erich Honecker stepped down in favor of Krenz."
